1.1, Explore Visible Content
5.4.2, If HTTP cookies are being used as the transmission mechanism for sessiontokens verify whether the secure fl ag is set preventing them fromever being transmitted over HTTP connections.
5.4.3, Determine whether in the normal use of the application session tokensare ever transmitted over an HTTP connection. If so they are vulnerableto interception.
5.4.4, In cases where the application uses HTTP for unauthenticated areasand switches to HTTPS for the login and/or authenticated areas ofthe application verify whether a new token is issued for the HTTPSportion of the communications or whether a token issued during theHTTP stage remains active when the application switches to HTTPS.If a token issued during the HTTP stage remains active the token isvulnerable to interception.
5.4.5, If the HTTPS area of the application contains any links to HTTP URLsfollow these and verify whether the session token is submitted. If it isdetermine whether it continues to be valid or is immediately terminatedby the server.
5.5, Check for Disclosure of Tokens in Logs
5.5.1, If your application mapping exercises identifi ed any logging monitoringor diagnostic functionality review these functions closely to determinewhether any session tokens are disclosed within them. Confi rm who isnormally authorized to access these functions. If they are intended foradministrators only determine whether any other vulnerabilities existthat could enable a lower-privileged user to access them.
5.5.2, Identify any instances where session tokens are transmitted within theURL. It may be that tokens are generally transmitted in a more securemanner but that developers have used the URL in specifi c cases towork around a particular problem. If so these may be transmitted inthe Referer header when users follow any off-site links. Check for anyfunctionality that enables you to inject arbitrary off-site links into pagesviewed by other users.
5.5.3, If you fi nd any way to gather valid session tokens issued to other userslook for a way to test each token to determine whether it belongs to anadministrative user (for example by attempting to access a privilegedfunction using the token).
5.6, Check Mapping of Tokens to Sessions
5.6.1, Log in to the application twice using the same user account either fromdifferent browser processes or from different computers. Determinewhether both sessions remain active concurrently. If they do the applicationsupports concurrent sessions enabling an attacker who hascompromised another user’s credentials to use these without risk ofdetection.
5.6.2, Log in and log out several times using the same user account either fromdifferent browser processes or from different computers. Determinewhether a new session token is issued each time or whether the sametoken is issued every time the same account logs in. If the latter occursthe application is not really employing proper session tokens but isusing unique persistent strings to reidentify each user. In this situationthere is no way to protect against concurrent logins or properly enforcesession timeout.
5.6.3, If tokens appear to contain any structure and meaning attempt to separateout components that may identify the user from those that appear to beinscrutable. Try to modify any user-related components of the token sothat they refer to other known users of the application. Verify whetherthe application accepts the resulting token and whether it enables youto masquerade as that user. See Chapter 7 for examples of this kind ofsubtle vulnerability.
5.7, Test Session Termination
5.7.1, When testing for session timeout and logout fl aws focus solely on theserver’s handling of sessions and tokens rather than any events that occuron the client. In terms of session termination nothing much depends onwhat happens to the token within the client browser.Chapter 21 n A Web Application Hacker’s Methodology 819
5.7.2, Check whether session expiration is implemented on the server:n Log in to the application to obtain a valid session token.n Wait for a period without using this token and then submit a requestfor a protected page (such as My Details) using the token.n If the page is displayed normally the token is still active.n Use trial and error to determine how long any session expirationtimeout is or whether a token can still be used days after the previousrequest that used it. Burp Intruder can be configured to incrementthe time interval between successive requests to automate this task.
5.7.3, Check whether a logout function exists. If it does test whether it effectivelyinvalidates the user’s session on the server. After logging outattempt to reuse the old token and determine whether it is still valid byrequesting a protected page using the token. If the session is still activeusers remain vulnerable to some session hijacking attacks even afterthey have “logged out.” You can use Burp Repeater to keep sending aspecifi c request from the proxy history to see whether the applicationresponds differently after you log out.
5.8, Check for Session Fixation
5.8.1, If the application issues session tokens to unauthenticated users obtaina token and perform a login. If the application does not issue a freshtoken following a successful login it is vulnerable to session fi xation.
5.8.2, Even if the application does not issue session tokens to unauthenticatedusers obtain a token by logging in and then return to the login page. Ifthe application is willing to return this page even though you are alreadyauthenticated submit another login as a different user using the sametoken. If the application does not issue a fresh token after the secondlogin it is vulnerable to session fi xation.
5.8.3, Identify the format of session tokens that the application uses. Modifyyour token to an invented value that is validly formed and attempt tolog in. If the application allows you to create an authenticated sessionusing an invented token it is vulnerable to session fi xation.
5.8.4, If the application does not support login but processes sensitive userinformation (such as personal and payment details) and allows this tobe displayed after submission (such as on a Verify My Order page)carry out the preceding three tests in relation to the pages displayingsensitive data. If a token set during anonymous usage of the applicationcan later be used to retrieve sensitive user information the applicationis vulnerable to session fi xation.
5.9, Check for CSRF
5.9.1, If the application relies solely on HTTP cookies as its method of transmittingsession tokens it may be vulnerable to cross-site request forgeryattacks.
5.9.2, Review the application’s key functionality and identify the specifi crequests that are used to perform sensitive actions. If an attacker canfully determine in advance parameters for any of these requests (thatis they do not contain any session tokens unpredictable data or othersecrets) the application is almost certainly vulnerable.
5.9.3, Create an HTML page that will issue the desired request without anyuser interaction. For GET requests you can place an <img> tag with thesrc parameter set to the vulnerable URL. For POST requests you cancreate a form that contains hidden fi elds for all the relevant parametersrequired for the attack and that has its target set to the vulnerableURL. You can use JavaScript to autosubmit the form as soon as thepage loads. While logged in to the application use the same browserto load your HTML page. Verify that the desired action is carried outwithin the application.
5.9.4, If the application uses additional tokens within requests in an attempt toprevent CSRF attacks test the robustness of these in the same manner asfor session tokens. Also test whether the application is vulnerable to UIredress attacks in order to defeat the anti-CSRF defenses (see Chapter 13for more details).
5.1, Check Cookie Scope
5.10.1, If the application uses HTTP cookies to transmit session tokens (orany other sensitive data) review the relevant Set-Cookie headers andcheck for any domain or path attributes used to control the scope of thecookies.
5.10.2, If the application explicitly liberalizes its cookies’ scope to a parentdomain or parent directory it may be leaving itself vulnerable to attacksvia other web applications that are hosted within the parent domainor directory.
5.10.3, If the application sets its cookies’ domain scope to its own domainname (or does not specify a domain attribute) it may still be exposedto attacks via any applications hosted on subdomains. This is a consequenceof how cookie scoping works. It cannot be avoided other thanby not hosting any other applications on a subdomain of a securitysensitiveapplication.Chapter 21 n A Web Application Hacker’s Methodology 821
5.10.4, Determine any reliance on segregation by path such as /site/main and/site/demo which can be subverted in the event of a cross-site scriptingattack.
5.10.5, Identify all the possible domain names and paths that will receive thecookies that the application issues. Establish whether any other webapplications are accessible via these domain names or paths that youmay be able to leverage to capture the cookies issued to users of thetarget application.
6.1, Understand the Access Control Requirements
6.1.1, Based on the core functionality implemented within the applicationunderstand the broad requirements for access control in terms of verticalsegregation (different levels of users have access to different typesof functionality) and horizontal segregation (users at the same privilegelevel have access to different subsets of data). Often both types of segregationare present. For example ordinary users may be able to accesstheir own data while administrators can access everyone’s data.
6.1.2, Review your application mapping results to identify the areas of functionalityand types of data resources that represent the most fruitfultargets for privilege escalation attacks.
6.1.3, To perform the most effective testing for access control vulnerabilitiesyou should ideally obtain a number of different accounts with differentvertical and horizontal privileges. If self-registration is possible you canprobably obtain the latter directly from the application. To obtain theformer you will probably need the cooperation of the application owner(or need to exploit some vulnerability to gain access to a high-privilegedaccount). The availability of different kinds of accounts will affect thetypes of testing you can perform as described next.
6.2, Test with Multiple Accounts
6.2.1, If the application enforces vertical privilege segregation fi rst use apowerful account to locate all the functionality it can access. Thenuse a less-privileged account and attempt to access each item of thisfunctionality.
6.2.1.1, Using Burp browse all the application’s content within one usercontext.
6.2.1.2, Review the contents of Burp’s site map to ensure you haveidentifi ed all the functionality you want to test. Then log outof the application and log back in using a different user context.Use the context menu to select the “compare site maps” featureto determine which high-privileged requests may be accessible tothe lower-privileged user. See Chapter 8 for more details onthis technique.
6.2.2, If the application enforces horizontal privilege segregation performthe equivalent test using two different accounts at the same privilegelevel attempting to use one account to access data belonging to theother account. This typically involves replacing an identifi er (such asa document ID) within a request to specify a resource belonging to theother user.
6.2.3, Perform manual checking of key access control logic.
6.2.3.1, For each user privilege review resources available to a user.Attempt to access those resources from an unauthorized useraccount by replaying the request using the unauthorized user’ssession token.
6.2.4, When you perform any kind of access control test be sure to test every stepof multistage functions individually to confi rm whether access controlshave been properly implemented at each stage or whether the applicationassumes that users who access a later stage must have passed securitychecks implemented at the earlier stages. For example if an administrativepage containing a form is properly protected check whether the actualform submission is also subjected to proper access controls.
6.3, Test with Limited Access
6.3.1, If you do not have prior access to accounts at different privilege levels orto multiple accounts with access to different data testing for broken accesscontrols is not quite as straightforward. Many common vulnerabilities willbe much harder to locate because you do not know the names of the URLsidentifi ers and parameters that are needed to exploit the weaknesses.Chapter 21 n A Web Application Hacker’s Methodology 823
6.3.2, In your application mapping exercises that use a low-privileged accountyou may have identifi ed the URLs for privileged functions such asadministrative interfaces. If these are not adequately protected you willprobably already know about this.
6.3.3, Decompile all compiled clients that are present and extract any referencesto server-side functionality.
6.3.4, Most data that is subject to horizontal access controls is accessed usingan identifi er such as an account number or order reference. To testwhether access controls are effective using only a single account youmust try to guess or discover the identifi ers associated with other users’data. If possible generate a series of identifi ers in quick succession(for example by creating several new orders). Attempt to identify anypatterns that may enable you to predict the identifi ers issued to otherusers. If there is no way to generate new identifi ers you are probablyrestricted to analyzing those you already have and guessing on thatbasis.
6.3.5, If you fi nd a way to predict the identifi ers issued to other users use thetechniques described in Chapter 14 to mount an automated attack toharvest interesting data belonging to other users. Use the Extract Grepfunction in Burp Intruder to capture the relevant information from withinthe application’s responses.
6.4, Test for Insecure Access Control Methods
6.4.1, Some applications implement access controls based on requestparameters in an inherently unsafe way. Look for parameters suchas edit=false or access=read in any key requests and modify thesein line with their apparent role to try to interfere with the application’saccess control logic.
6.4.2, Some applications base access control decisions on the HTTP Refererheader. For example an application may properly control access to/admin.jsp and accept any request showing this as its Referer. To testfor this behavior attempt to perform some privileged actions to whichyou are authorized and submit a missing or modifi ed Referer header.If this change causes the application to block your request it may beusing the Referer header in an unsafe way. Try performing the sameaction as an unauthorized user but supply the original Referer headerand see whether the action succeeds.
6.4.3, If HEAD is an allowed method on the site test for insecure containermanagedaccess control to URLs. Make a request using the HEAD methodto determine whether the application permits it.
7.1, Fuzz All Request Parameters
7.1.1, Review the results of your application mapping exercises and identifyevery distinct client request that submits parameters that the server-sideapplication processes. Relevant parameters include items within the URLquery string parameters in the request body and HTTP cookies. Alsoinclude any other items of user input that have been observed to have aneffect on the application’s behavior such as the Referer or User-Agentheaders.
7.1.2, To fuzz the parameters you can use your own scripts or a ready-madefuzzing tool. For example to use Burp Intruder load each request inturn into the tool. An easy way to do this is to intercept a request in BurpProxy and select the Send to Intruder action or right-click an item in theBurp Proxy history and select this option. Using this option confi guresBurp Intruder with the contents of the request along with the correcttarget host and port. It also automatically marks the values of all requestparameters as payload positions ready for fuzzing.
7.1.3, Using the payloads tab confi gure a suitable set of attack payloads toprobe for vulnerabilities within the application. You can enter payloadsmanually load them from a fi le or select one of the preset payload lists.Fuzzing every request parameter within the application typically entailsissuing a large number of requests and reviewing the results for anomalies.If your set of attack strings is too large this can be counterproductiveChapter 21 n A Web Application Hacker’s Methodology 825and generate a prohibitively large amount of output for you to review.Hence a sensible approach is to target a range of common vulnerabilitiesthat can often be easily detected in anomalous responses to specifi ccrafted inputs and that often manifest themselves anywhere withinthe application rather than within specifi c types of functionality. Hereis a suitable set of payloads that you can use to test for some commoncategories of vulnerabilities:SQL Injection‘‘--‘; waitfor delay ‘0:30:0’--
1,; waitfor delay ‘0:30:0’--XSS and Header Injectionxsstest“><script>alert(‘xss’)</script>OS Command Injection|| ping -i 30 127.0.0.1 ; x || ping -n 30 127.0.0.1 &| ping –i 30 127.0.0.1 || ping –n 30 127.0.0.1 |& ping –i 30 127.0.0.1 && ping –n 30 127.0.0.1 &; ping 127.0.0.1 ;%0a ping –i 30 127.0.0.1 %0a` ping 127.0.0.1 `Path Traversal../../../../../../../../../../etc/passwd../../../../../../../../../../boot.ini..\..\..\..\..\..\..\..\..\..\etc\passwd..\..\..\..\..\..\..\..\..\..\boot.iniScript Injection;echo 111111echo 111111response.write 111111:response.write 111111File Inclusionhttp://<your server name>/http://<nonexistent IP address>/
7.1.4, All the preceding payloads are shown in their literal form. The characters? ; & + = and space need to be URL-encoded because they have special
826, Chapter 21 n A Web Application Hacker’s Methodologymeaning within HTTP requests. By default Burp Intruder performs thenecessary encoding of these characters so ensure that this option has notbeen disabled. (To restore all options to their defaults following earliercustomization select Burp ‚ Restore Defaults.)
7.1.5, In the Grep function of Burp Intruder confi gure a suitable set of stringsto fl ag some common error messages within responses. For example:errorexceptionillegalinvalidfailstackaccessdirectoryfilenot foundvarcharODBCSQLSELECT
111111,Note that the string 111111 is included to test for successful script injectionattacks. The payloads in step 7.1.3 involve writing this value intothe server’s response.
7.1.6, Also select the Payload Grep option to fl ag responses that contain thepayload itself indicating a potential XSS or header injection vulnerability.
7.1.7, Set up a web server or netcat listener on the host you specifi ed in thefi rst fi le inclusion payload. This helps you monitor for connectionattempts received from the server resulting from a successful remotefi le inclusion attack.
7.1.8, Launch the attack. When it has completed review the results for anomalousresponses indicating the presence of vulnerabilities. Check fordivergences in the HTTP status code the response length the responsetime the appearance of your confi gured expressions and the appearanceof the payload itself. You can click each column heading in the resultstable to sort the results by the values in that column (and Shift-clickto reverse-sort the results). This enables you to quickly identify anyanomalies that stand out from the other results.
7.1.9, For each potential vulnerability indicated by the results of your fuzz testingrefer to the following sections of this methodology. They describethe detailed steps you should take in relation to each category of problemto verify the existence of a vulnerability and successfully exploit it.Chapter 21 n A Web Application Hacker’s Methodology 827
7.1.10, After you have confi gured Burp Intruder to perform a fuzz test of a singlerequest you can quickly repeat the same test on other requests withinthe application. Simply select each target request within Burp Proxy andchoose the Send to Intruder option. Then immediately launch the attackwithin Intruder using the existing attack confi guration. In this way youcan launch a large number of tests simultaneously in separate windowsand manually review the results as each test completes its work.
7.1.11, If your mapping exercises identifi ed any out-of-band input channelswhereby user-controllable input can be introduced into the application’sprocessing you should perform a similar fuzzing exercise on these inputchannels. Submit various crafted data designed to trigger common vulnerabilitieswhen processed within the web application. Depending onthe nature of the input channel you may need to create a custom scriptor other harness for this purpose.
7.1.12, In addition to your own fuzzing of application requests if you have accessto an automated web application vulnerability scanner you should runit against the target application to provide a basis for comparison withyour own fi ndings.
7.2, Test for SQL Injection
7.2.1, If the SQL attack strings listed in step 7.1.3 result in any anomalousresponses probe the application’s handling of the relevant parametermanually to determine whether a SQL injection vulnerability is present.
7.2.2, If any database error messages were returned investigate their meaning.Use the section “SQL Syntax and Error Reference” in Chapter 9 to helpinterpret error messages on some common database platforms.
7.2.3, If submitting a single quotation mark in the parameter causes an erroror other anomalous behavior submit two single quotation marks. If thisinput causes the error or anomalous behavior to disappear the applicationis probably vulnerable to SQL injection.
7.2.4, Try using common SQL string concatenator functions to construct a stringthat is equivalent to some benign input. If this causes the same responseas the original benign input the application is probably vulnerable. Forexample if the original input is the expression FOO you can performthis test using the following items (in the third example note the spacebetween the two quotes):‘||’FOO‘+’FOO‘ ‘FOO
7.2.5, If the original input is numeric try using a mathematical expression thatis equivalent to the original value. For example if the original value was
2, try submitting 1+1 or 3–1. If the application responds in the same wayit may be vulnerable particularly if the value of the numeric expressionhas a systematic effect on the application’s behavior.
7.2.6, If the preceding test is successful you can gain further assurance thata SQL injection vulnerability is involved by using SQL-specifi c mathematicalexpressions to construct a particular value. If the application’slogic can be systematically manipulated in this way it is almost certainlyvulnerable to SQL injection. For example both of the following itemsare equivalent to the number 2:
67,#NAME?
51,#NAME?
7.2.7, If either of the fuzz test cases using the waitfor command resultedin an abnormal time delay before the application responded this is astrong indicator that the database type is MS-SQL and the applicationis vulnerable to SQL injection. Repeat the test manually specifying differentvalues in the waitfor parameter and determine whether the timetaken to respond varies systematically with this value. Note that yourattack payload may be inserted into more than one SQL query so thetime delay observed may be a fi xed multiple of the value specifi ed.
7.2.8, If the application is vulnerable to SQL injection consider what kindsof attacks are feasible and likely to help you achieve your objectives.Refer to Chapter 9 for the detailed steps needed to carry out any of thefollowing attacks:n Modify the conditions within a WHERE clause to change the application’slogic (for example by injecting or 1=1-- to bypass a login).n Use the UNION operator to inject an arbitrary SELECT query and combinethe results with those of the application’s original query.n Fingerprint the database type using database-specific SQL syntax.n If the database type is MS-SQL and the application returns ODBC errormessages in its responses leverage these to enumerate the databasestructure and retrieve arbitrary data.n If you cannot find a way to directly retrieve the results of an arbitraryinjected query use the following advanced techniques to extract data:n Retrieve string data in numeric form one byte at a time.n Use an out-of-band channel.Chapter 21 n A Web Application Hacker’s Methodology 829n If you can cause different application responses based on a singlearbitrary condition use Absinthe to extract arbitrary data one bitat a time.n If you can trigger time delays based on a single arbitrary conditionexploit these to retrieve data one bit at a time.n If the application is blocking certain characters or expressions thatyou require to perform a particular attack try the various bypasstechniques described in Chapter 9 to circumvent the input filter.n If possible escalate the attack against the database and the underlyingserver by leveraging any vulnerabilities or powerful functionswithin the database.
7.3, Test for XSS and Other Response Injection
7.3.1, Identify Refl ected Request Parameters
7.3.1.1, Sort the results of your fuzz testing by clicking the Payload Grep columnand identify any matches corresponding to the XSS payloads listed instep 7.1.3. These are cases where the XSS test strings were returnedunmodifi ed within the application’s responses.
7.3.1.2, For each of these cases review the application’s response to fi nd the locationof the supplied input. If this appears within the response body testfor XSS vulnerabilities. If the input appears within any HTTP header testfor header injection vulnerabilities. If it is used in the Location headerof a 302 response or if it is used to specify a redirect in some other waytest for redirection vulnerabilities. Note that the same input might becopied into multiple locations within the response and that more thanone type of refl ected vulnerability might be present.
7.3.2, Test for Refl ected XSS
7.3.2.1, For each place within the response body where the value of the requestparameter appears review the surrounding HTML to identify possibleways of crafting your input to cause execution of arbitrary JavaScript.For example you can inject <script> tags inject into an existing scriptor place a crafted value into a tag attribute.
7.3.2.2, Use the different methods of beating signature-based fi lters described inChapter 12 as a reference for the different ways in which crafted inputcan be used to cause execution of JavaScript.
7.3.2.3, Try submitting various possible exploits to the application and monitorits responses to determine whether any fi ltering or sanitization of input
830, Chapter 21 n A Web Application Hacker’s Methodologyis being performed. If your attack string is returned unmodifi ed use abrowser to verify conclusively that you have succeeded in executingarbitrary JavaScript (for example by generating an alert dialog).
7.3.2.4, If you fi nd that the application is blocking input containing certaincharacters or expressions you need to use or is HTML-encoding certaincharacters try the various fi lter bypasses described in Chapter 12.
7.3.2.5, If you fi nd an XSS vulnerability in a POST request this can still beexploited via a malicious website that contains a form with the requiredparameters and a script to automatically submit the form. Neverthelessa wider range of attack delivery mechanisms is available if the exploitcan be delivered via a GET request. Try submitting the same parametersin a GET request and see if the attack still succeeds. You can use theChange Request Method action in Burp Proxy to convert the requestfor you.
7.3.3, Test for HTTP Header Injection
7.3.3.1, For each place within the response headers where the value of the requestparameter appears verify whether the application accepts data containingURL-encoded carriage-return (%0d) and line-feed (%0a) charactersand whether these are returned unsanitized in its response. (Note thatyou are looking for the actual newline characters themselves to appearin the server’s response not their URL-encoded equivalents.)
7.3.3.2, If a new line appears in the server’s response headers when you supplycrafted input the application is vulnerable to HTTP header injection.This can be leveraged to perform various attacks as described inChapter 13.
7.3.3.3, If you fi nd that only one of the two newline characters gets returned inthe server’s responses it may still be possible to craft a working exploitdepending on the context and the target user’s browser.
7.3.3.4, If you fi nd that the application blocks input containing newline charactersor sanitizes those characters in its response try the following itemsof input to test the fi lter’s effectiveness:foo%00%0d%0abarfoo%250d%250abarfoo%%0d0d%%0a0abar
7.3.4, Test for Open Redirection
7.3.4.1, If the refl ected input is used to specify the target of a redirect of somekind test whether it is possible to supply crafted input that results inChapter 21 n A Web Application Hacker’s Methodology 831an arbitrary redirect to an external website. If so this behavior can beexploited to lend credibility to a phishing-style attack.
7.3.4.2, If the application ordinarily transmits an absolute URL as the parameter’svalue modify the domain name within the URL and test whether theapplication redirects you to the different domain.
7.3.4.3, If the parameter normally contains a relative URL modify this into anabsolute URL for a different domain and test whether the applicationredirects you to this domain.
7.3.4.4, If the application carries out some validation on the parameter beforeperforming the redirect in an effort to prevent external redirectionthis is often vulnerable to bypasses. Try the various attacks describedin Chapter 13 to test the robustness of the fi lters.
7.3.5, Test for Stored Attacks
7.3.5.1, If the application stores items of user-supplied input and later displays theseon-screen after you have fuzzed the entire application you may observesome of your attack strings being returned in responses to requests that didnot themselves contain those strings. Note any instances where this occursand identify the original entry point for the data that is being stored.
7.3.5.2, In some cases user-supplied data is stored successfully only if you completea multistage process which does not occur in basic fuzz testing. Ifyour application mapping exercises identifi ed any functionality of thiskind manually walk through the relevant process and test the storeddata for XSS vulnerabilities.
7.3.5.3, If you have suffi cient access to test it review closely any administrativefunctionality in which data originating from low-privileged users isultimately rendered on-screen in the session of more privileged users.Any stored XSS vulnerabilities in functionality of this kind typically leaddirectly to privilege escalation.
7.3.5.4, Test every instance where user-supplied data is stored and displayedto users. Probe these for XSS and the other response injection attacksdescribed previously.
7.3.5.5, If you fi nd a vulnerability in which input supplied by one user is displayedto other users determine the most effective attack payload with whichyou can achieve your objectives such as session hijacking or requestforgery. If the stored data is displayed only to the same user from whomit originated try to fi nd ways of chaining any other vulnerabilities youhave discovered (such as broken access controls) to inject an attack intoother users’ sessions.
7.3.5.6, If the application allows upload and download of fi les always probe thisfunctionality for stored XSS attacks. If the application allows HTML JARor text fi les and does not validate or sanitize their contents it is almostcertainly vulnerable. If it allows JPEG fi les and does not validate thatthey contain valid images it is probably vulnerable to attacks againstInternet Explorer users. Test the application’s handling of each fi le typeit supports and confi rm how browsers handle responses containingHTML instead of the normal content type.
7.3.5.7, In every location where data submitted by one user is displayed to otherusers but where the application’s fi lters prevent you from performinga stored XSS attack review whether the application’s behavior leavesit vulnerable to on-site request forgery.
7.4, Test for OS Command Injection
7.4.1, If any of the command injection attack strings listed in step 7.1.3 resultedin an abnormal time delay before the application responded this is astrong indicator that the application is vulnerable to OS command injection.Repeat the test manually specifying different values in the -i or-n parameter and determine whether the time taken to respond variessystematically with this value.
7.4.2, Using whichever of the injection strings was found to be successful tryinjecting a more interesting command (such as ls or dir) and determinewhether you can retrieve the results of the command to your browser.
7.4.3, If you are unable to retrieve results directly other options are open toyou:n You can attempt to open an out-of-band channel back to your computer.Try using TFTP to copy tools up to the server using telnet ornetcat to create a reverse shell back to your computer and using themail command to send command output via SMTP.n You can redirect the results of your commands to a file within theweb root which you can then retrieve directly using your browser.For example:dir > c:\inetpub\wwwroot\foo.txt
7.4.4, If you fi nd a way to inject commands and retrieve the results you shoulddetermine your privilege level (by using whoami or a similar commandor attempting to write a harmless fi le to a protected directory). Youmay then seek to escalate privileges gain backdoor access to sensitiveapplication data or attack other hosts that can be reached from thecompromised server.Chapter 21 n A Web Application Hacker’s Methodology 833
7.4.5, If you believe that your input is being passed to an OS command ofsome kind but the attack strings listed are unsuccessful see if you canuse the < or > character to direct the contents of a fi le to the command’sinput or to direct the command’s output to a fi le. This may enable youto read or write arbitrary fi le contents. If you know or can guess theactual command being executed try injecting command-line parametersassociated with that command to modify its behavior in useful ways(for example by specifying an output fi le within the web root).
7.4.6, If you fi nd that the application is escaping certain key characters you needto perform a command injection attack try placing the escape characterbefore each such character. If the application does not escape the escapecharacter itself this usually leads to a bypass of this defensive measure.If you fi nd that whitespace characters are blocked or sanitized you maybe able to use $IFS in place of spaces on UNIX-based platforms.
7.5, Test for Path Traversal
7.5.1, For each fuzz test you have performed review the results generatedby the path traversal attack strings listed in step 7.1.3. You can click thetop of the payload column in Burp Intruder to sort the results table bypayload and group the results for these strings. For any cases wherean unusual error message or a response with an abnormal length wasreceived review the response manually to determine whether it containsthe contents of the specifi ed fi le or other evidence that an anomalousfi le operation occurred.
7.5.2, In your mapping of the application’s attack surface you should havenoted any functionality that specifi cally supports the reading and writingof fi les on the basis of user-supplied input. In addition to the generalfuzzing of all parameters you should manually test this functionalityvery carefully to identify any path traversal vulnerabilities that exist.
7.5.3, Where a parameter appears to contain a fi lename a portion of a fi lenameor a directory modify the parameter’s existing value to insert anarbitrary subdirectory and a single traversal sequence. For example ifthe application submits this parameter:file=foo/file1.txttry submitting this value:file=foo/bar/../file1.txtIf the application’s behavior is identical in the two cases it may bevulnerable and you should proceed to the next step. If the behavioris different the application may be blocking stripping or sanitizing
834, Chapter 21 n A Web Application Hacker’s Methodologytraversal sequences resulting in an invalid fi le path. Try using theencoding and other attacks described in Chapter 10 in an attempt tobypass the fi lters.
7.5.4, If the preceding test of using traversal sequences within the basedirectory is successful try using additional sequences to step abovethe base directory and access known fi les on the server’s operatingsystem. If these attempts fail the application may be imposing variousfi lters or checks before fi le access is granted. You should probefurther to understand the controls that are implemented and whetherany bypasses exist.
7.5.5, The application may be checking the fi le extension being requestedand allowing access to only certain kinds of fi les. Try using a null byteor newline attack together with a known accepted fi le extension in anattempt to bypass the fi lter. For example:../../../../../boot.ini%00.jpg../../../../../etc/passwd%0a.jpg
7.5.6, The application may be checking that the user-supplied fi le path starts witha particular directory or stem. Try appending traversal sequences aftera known accepted stem in an attempt to bypass the fi lter. For example:/images/../../../../../../../etc/passwd
7.5.7, If these attacks are unsuccessful try combining multiple bypassesworking initially entirely within the base directory in an attempt tounderstand the fi lters in place and the ways in which the applicationhandles unexpected input.
7.5.8, If you succeed in gaining read access to arbitrary fi les on the serverattempt to retrieve any of the following fi les which may enable you toescalate your attack:n Password files for the operating system and applicationn Server and application configuration files to discover other vulnerabilitiesor fine-tune a different attackn Include files that may contain database credentialsn Data sources used by the application such as MySQL database filesor XML filesn The source code to server-executable pages to perform a code reviewin search of bugsn Application log files that may contain information such as usernamesand session tokensChapter 21 n A Web Application Hacker’s Methodology 835
7.5.9, If you succeed in gaining write access to arbitrary fi les on the serverexamine whether any of the following attacks are feasible in order toescalate your attack:n Creating scripts in users’ startup foldersn Modifying files such as in.ftpd to execute arbitrary commands whena user next connectsn Writing scripts to a web directory with execute permissions and callingthem from your browser
7.6, Test for Script Injection
7.6.1, For each fuzz test you have performed review the results for the string
111111, on its own (that is not preceded by the rest of the test string).You can quickly identify these in Burp Intruder by Shift-clicking theheading for the 111111 Grep string to group all the results containingthis string. Look for any that do not have a check in the Payload Grepcolumn. Any cases identifi ed are likely to be vulnerable to injection ofscripting commands.
7.6.2, Review all the test cases that used script injection strings and identifyany containing scripting error messages that may indicate that your inputis being executed but caused an error. These may need to be fi ne-tunedto perform successful script injection.
7.6.3, If the application appears to be vulnerable verify this by injecting furthercommands specifi c to the scripting platform in use. For exampleyou can use attack payloads similar to those used when fuzzing for OScommand injection:system(‘ping%20127.0.0.1’)
7.7, Test for File Inclusion
7.7.1, If you received any incoming HTTP connections from the target application’sinfrastructure during your fuzzing the application is almostcertainly vulnerable to remote fi le inclusion. Repeat the relevant testsin a single-threaded and time-throttled way to determine exactly whichparameters are causing the application to issue the HTTP requests.
7.7.2, Review the results of the fi le inclusion test cases and identify any thatcaused an anomalous delay in the application’s response. In these casesit may be that the application itself is vulnerable but that the resultingHTTP requests are timing out due to network-level fi lters.
7.7.3, If you fi nd a remote fi le inclusion vulnerability deploy a web servercontaining a malicious script specifi c to the language you are targetingand use commands such as those used to test for script injection to verifythat your script is being executed.
8.1, Test for SMTP Injection
8.1.1, For each request employed in e-mail–related functionality submit eachof the following test strings as each parameter in turn inserting yourown e-mail address at the relevant position. You can use Burp Intruderto automate this as described in step 7.1 for general fuzzing. These teststrings already have special characters URL-encoded so do not applyany additional encoding to them.<youremail>%0aCc:<youremail><youremail>%0d%0aCc:<youremail><youremail>%0aBcc:<youremail><youremail>%0d%0aBcc:<youremail>%0aDATA%0afoo%0a%2e%0aMAIL+FROM:+<youremail>%0aRCPT+TO:+<youremail>Chapter 21 n A Web Application Hacker’s Methodology 837%0aDATA%0aFrom:+<youremail>%0aTo:+<youremail>%0aSubject:+test%0afoo%0a%2e%0a%0d%0aDATA%0d%0afoo%0d%0a%2e%0d%0aMAIL+FROM:+<youremail>%0d%0aRCPT+TO:+<youremail>%0d%0aDATA%0d%0aFrom:+<youremail>%0d%0aTo:+<youremail>%0d%0aSubject:+test%0d%0afoo%0d%0a%2e%0d%0a
8.1.2, Review the results to identify any error messages the application returns.If these appear to relate to any problem in the e-mail function investigatewhether you need to fi ne-tune your input to exploit a vulnerability.
8.1.3, Monitor the e-mail address you specifi ed to see if any e-mail messagesare received.
8.1.4, Review closely the HTML form that generates the relevant request. Itmay contain clues regarding the server-side software being used. Itmay also contain a hidden or disabled fi eld that is used to specify theTo address of the e-mail which you can modify directly.
8.2, Test for Native Software Vulnerabilities
8.2.1, Test for Buffer Overfl ows
